class,Elevation,Slope,Aspect,Curvature,TWI,Distance_to_Rivers,Annual_Rainfall,Event_Rainfall,NDVI,LULC
1,1582.0,3.7175374,90.0,3.0,3.4116347,2397.749,761.1299,214.01933,0.2048399,40.0
1,1450.0,2.7802885,-0.0,-3.0,4.7962637,1650.0,603.1331,163.38403,0.22178525,40.0
1,1413.0,2.931383,161.50893,11.0,5.8429112,700.35706,650.98444,182.9908,0.3415208,40.0
1,1438.0,4.7333393,101.274086,-18.0,3.865607,1272.7922,650.98444,182.9908,0.3334321,30.0
1,1789.0,2.7802885,-0.0,-3.0,3.6976516,3757.672,750.4868,222.71527,0.2269884,40.0
1,1732.0,3.347645,236.39359,11.0,5.460937,1194.3617,750.4868,222.71527,0.23157485,40.0
1,1743.0,2.625675,314.90906,0.0,4.8523765,2107.9136,750.4868,222.71527,0.3872813,40.0
1,1770.0,1.3135175,45.090527,-1.0,4.425802,1703.9366,750.4868,222.71527,0.2782194,30.0
1,1775.0,2.9387507,71.61924,-10.0,3.64322,2500.8198,774.91144,242.72476,0.25439325,40.0
1,1541.0,0.0,-0.0,-4.0,7.6009026,630.71387,597.91626,152.84787,0.30735236,40.0
1,1572.0,2.0743544,153.36168,-2.0,5.59349,570.0,610.9868,150.14279,0.2756905,40.0
1,1603.0,3.3476548,123.6063,0.0,3.515024,624.2596,620.0593,128.74336,0.39613736,40.0
1,1610.0,0.0,-0.0,0.0,8.699514,986.81305,610.9868,150.14279,0.3565328,40.0
1,1541.0,17.236374,95.989944,13.0,2.553461,420.0,610.9868,150.14279,0.38113207,20.0
1,1564.0,2.0743568,206.63844,8.0,5.593489,2430.0,610.9868,150.14279,0.3678945,40.0
1,1549.0,3.8192005,194.07956,-2.0,3.3849816,1961.0457,610.9868,150.14279,0.31396112,40.0
1,1515.0,3.3478072,236.39543,-2.0,7.540331,30.0,598.258,161.24826,0.3904618,40.0
1,1506.0,1.3135619,134.90753,5.0,8.528413,276.58633,598.258,161.24826,0.4198644,40.0
1,1488.0,2.9313703,161.50967,5.0,7.201039,84.85281,611.82916,155.64297,0.3198337,40.0
1,1466.0,2.7892275,270.0,2.0,7.383381,60.0,669.65265,185.89183,0.31051734,40.0
1,1503.0,3.3477132,236.39436,3.0,6.693061,218.40329,611.82916,155.64297,0.2575605,30.0
1,1525.0,2.931377,198.49072,-1.0,8.824659,30.0,652.56104,150.73811,0.3526267,40.0
1,1551.0,3.3436985,326.22318,-9.0,7.8792877,42.426407,652.56104,150.73811,0.18663596,40.0
1,1572.0,2.0785224,296.4893,-1.0,4.3875623,84.85281,658.63416,182.21928,0.45768788,20.0
1,1580.0,4.637065,306.7797,1.0,3.1928523,966.0745,632.4218,130.49615,0.3017145,40.0
1,1502.0,2.0743897,333.35974,-1.0,8.267622,30.0,652.56104,150.73811,0.26201698,40.0
1,1524.0,0.92740995,-0.0,5.0,8.754905,67.08204,647.05115,161.81148,0.39725408,20.0
1,1581.0,2.9313486,341.51093,4.0,8.156557,120.0,627.7411,157.22562,0.30174696,80.0
1,1565.0,1.3135248,225.09085,-8.0,9.242038,30.0,621.24445,91.9427,0.3195122,40.0
1,1554.0,2.7802885,-0.0,-1.0,8.766556,84.85281,620.0593,128.74336,0.23522314,40.0
1,1632.0,6.664497,146.22678,4.0,6.5328355,60.0,627.7411,157.22562,0.4878429,20.0
1,1585.0,1.8543341,180.0,4.0,8.170616,42.426407,620.0593,128.74336,0.30235747,20.0
1,1540.0,2.9313695,198.4903,4.0,7.922357,120.0,620.0593,128.74336,-0.20348333,80.0
1,1585.0,4.1516266,116.48901,13.0,6.783679,210.0,658.63416,182.21928,0.20709604,30.0
1,1592.0,2.6258566,314.9051,-10.0,3.7536962,1050.0,658.63416,182.21928,0.2781457,40.0
1,1613.0,1.3136266,45.095276,1.0,4.4257226,1868.6893,641.20184,183.36752,0.29476953,40.0
1,1592.0,3.347972,303.6027,-4.0,3.5149307,3824.2646,641.20184,183.36752,0.32224187,40.0
1,1570.0,1.3136007,134.90585,5.0,6.95147,3160.8384,604.7913,157.75261,0.36643836,20.0
1,1548.0,2.7894258,270.0,-5.0,5.7093344,1060.6602,597.91626,152.84787,0.28434068,40.0
1,1560.0,1.3136113,314.9054,-3.0,4.8311987,2040.4412,610.4297,169.07562,0.22168446,40.0
1,1560.0,4.151424,296.49042,-3.0,3.7079525,1888.0942,604.7913,157.75261,0.27742577,40.0
1,1549.0,0.92740995,180.0,2.0,6.009467,466.6905,604.7913,157.75261,0.29668117,40.0
1,1575.0,1.3135761,134.90692,2.0,4.8312244,1675.9773,632.4218,130.49615,0.38680625,40.0
1,1567.0,1.3135759,314.90692,11.0,4.8312244,1266.0569,632.4218,130.49615,0.32557562,40.0
1,1559.0,3.7047918,-0.0,1.0,4.1081734,2142.6387,632.4218,130.49615,0.2232264,40.0
1,1562.0,0.930393,90.0,1.0,5.6699696,2402.4363,616.41516,158.60466,0.27197123,30.0
1,1577.0,6.550296,98.10443,-16.0,2.8488228,2418.6772,616.41516,158.60466,0.42811266,10.0
1,1573.0,2.7893875,90.0,-3.0,3.6944451,2144.1082,646.05927,184.97876,0.30644315,40.0
1,1554.0,7.436017,172.85179,-3.0,3.1272345,1634.6559,646.05927,184.97876,0.28939828,20.0
1,1447.0,1.3137739,225.10168,4.0,5.678378,1848.5941,632.1161,164.03036,0.20559113,40.0
1,1422.0,3.8312683,256.01172,0.0,4.4804764,2794.0293,680.9028,187.04178,0.20258981,40.0
1,1392.0,3.9358919,134.89714,5.0,5.957922,1475.8048,652.4482,175.85983,0.22048648,40.0
1,1378.0,2.0745292,153.35205,-5.0,5.4880476,997.2462,652.4482,175.85983,0.23053831,40.0
1,1522.0,3.7047918,180.0,0.0,3.4150264,2623.7568,658.2888,175.57645,0.22539426,40.0
1,1442.0,4.633198,143.03366,4.0,3.19368,2057.79,633.4219,161.57272,0.2369311,40.0
1,1426.0,1.8608521,270.0,11.0,4.78282,1770.0,633.4219,161.57272,0.24097356,40.0
1,1487.0,1.8543341,180.0,-3.0,5.345842,1566.046,633.4219,161.57272,0.27507406,30.0
1,1587.0,3.3438907,326.21823,-2.0,3.5161326,2219.3918,623.5808,160.96967,0.21649083,40.0
1,1543.0,4.996926,291.73306,-3.0,3.5241044,725.6032,658.2888,175.57645,0.28153747,30.0
1,1612.0,3.3435087,33.77196,-8.0,4.2093925,1824.8287,817.2157,242.30457,0.24384658,40.0
1,1603.0,2.625583,134.91106,9.0,4.1592636,1448.1022,817.2157,242.30457,0.42196232,30.0
1,1601.0,1.8543341,180.0,-2.0,4.093079,1527.3507,817.2157,242.30457,0.27359387,40.0
1,1584.0,2.9313316,198.48807,-1.0,4.744316,1261.7844,812.3086,231.45877,0.3710336,40.0
1,1571.0,2.078069,116.495514,-3.0,3.9823098,84.85281,621.74994,188.50443,0.29164955,80.0
